address,hex,dec,delta
7ED000,0000,0,0
7ED002,000c,12,12
7ED004,0018,24,12
7ED006,0024,36,12
7ED008,0030,48,12
7ED00A,003c,60,12
7ED00C,0048,72,12
7ED00E,0054,84,12
7ED010,0060,96,12
7ED012,006c,108,12
7ED014,0078,120,12
7ED016,0084,132,12
7ED018,0090,144,12
7ED01A,009c,156,12
7ED01C,00a8,168,12
7ED01E,00b4,180,12
7ED020,00c0,192,12
7ED022,00cc,204,12
7ED024,00d8,216,12
7ED026,00e4,228,12
7ED028,00f0,240,12
7ED02A,00fc,252,12
7ED02C,0108,264,12
7ED02E,0114,276,12
7ED030,0120,288,12
7ED032,012c,300,12
7ED034,0138,312,12
7ED036,0144,324,12
7ED038,0150,336,12
7ED03A,015c,348,12
7ED03C,0168,360,12
7ED03E,0174,372,12
7ED040,0180,384,12
7ED042,018c,396,12
7ED044,0198,408,12
7ED046,01a4,420,12
7ED048,01b0,432,12
7ED04A,01bc,444,12
7ED04C,01c8,456,12
7ED04E,01d4,468,12
7ED050,01e0,480,12
7ED052,01ec,492,12
7ED054,01f8,504,12
7ED056,0204,516,12
7ED058,0210,528,12
7ED05A,021c,540,12
7ED05C,0228,552,12
7ED05E,0234,564,12
7ED060,0240,576,12
7ED062,024c,588,12
7ED064,0258,600,12
7ED066,0264,612,12
7ED068,0270,624,12
7ED06A,027c,636,12
7ED06C,0288,648,12
7ED06E,0294,660,12
7ED070,02a0,672,12
7ED072,02ac,684,12
7ED074,02b8,696,12
7ED076,02c4,708,12
7ED078,02d0,720,12
7ED07A,02dc,732,12
7ED07C,02e8,744,12
7ED07E,02f4,756,12
7ED080,0300,768,12
7ED082,030c,780,12
7ED084,0318,792,12
7ED086,0324,804,12
7ED088,0330,816,12
7ED08A,033c,828,12
7ED08C,0348,840,12
7ED08E,0354,852,12
7ED090,0360,864,12
7ED092,036c,876,12
7ED094,0378,888,12
7ED096,0384,900,12
7ED098,0390,912,12
7ED09A,039c,924,12
7ED09C,03a8,936,12
7ED09E,03b4,948,12
7ED0A0,03c0,960,12
7ED0A2,03cc,972,12
7ED0A4,03d8,984,12
7ED0A6,03e4,996,12
7ED0A8,03f0,1008,12
7ED0AA,03fc,1020,12
7ED0AC,0408,1032,12
7ED0AE,0414,1044,12
7ED0B0,0420,1056,12
7ED0B2,042c,1068,12
7ED0B4,0438,1080,12
7ED0B6,0444,1092,12
7ED0B8,0450,1104,12
7ED0BA,045c,1116,12
7ED0BC,0468,1128,12
7ED0BE,0474,1140,12
7ED0C0,0480,1152,12
7ED0C2,048c,1164,12
7ED0C4,0498,1176,12
7ED0C6,04a4,1188,12
7ED0C8,04b0,1200,12
7ED0CA,04bc,1212,12
7ED0CC,04c8,1224,12
7ED0CE,04d4,1236,12
7ED0D0,04e0,1248,12
7ED0D2,04ec,1260,12
7ED0D4,04f8,1272,12
7ED0D6,0504,1284,12
7ED0D8,0510,1296,12
7ED0DA,051c,1308,12
7ED0DC,0528,1320,12
7ED0DE,0534,1332,12
7ED0E0,0540,1344,12
7ED0E2,054c,1356,12
7ED0E4,0558,1368,12
7ED0E6,0564,1380,12
7ED0E8,0570,1392,12
7ED0EA,057c,1404,12
7ED0EC,0588,1416,12
7ED0EE,0594,1428,12
7ED0F0,05a0,1440,12
7ED0F2,05ac,1452,12
7ED0F4,05b8,1464,12
7ED0F6,05c4,1476,12
7ED0F8,05d0,1488,12
7ED0FA,05dc,1500,12
7ED0FC,05e8,1512,12
7ED0FE,05f4,1524,12
7ED100,0600,1536,12
7ED102,060c,1548,12
7ED104,0618,1560,12
7ED106,0624,1572,12
7ED108,0630,1584,12
7ED10A,063c,1596,12
7ED10C,0648,1608,12
7ED10E,0654,1620,12
7ED110,0660,1632,12
7ED112,066c,1644,12
7ED114,066c,1644,0
7ED116,0684,1668,24
7ED118,0690,1680,12
7ED11A,069c,1692,12
7ED11C,06a8,1704,12
7ED11E,06b4,1716,12
7ED120,06c0,1728,12
7ED122,06cc,1740,12
7ED124,06d8,1752,12
7ED126,06e4,1764,12
7ED128,06f0,1776,12
7ED12A,06fc,1788,12
7ED12C,0708,1800,12
7ED12E,0714,1812,12
7ED130,0720,1824,12
7ED132,072c,1836,12
7ED134,0738,1848,12
7ED136,0744,1860,12
7ED138,0750,1872,12
7ED13A,075c,1884,12
7ED13C,0768,1896,12
7ED13E,0774,1908,12
7ED140,0780,1920,12
7ED142,078c,1932,12
7ED144,0798,1944,12
7ED146,07a4,1956,12
7ED148,07b0,1968,12
7ED14A,07bc,1980,12
7ED14C,07c8,1992,12
7ED14E,07d4,2004,12
7ED150,07e0,2016,12
7ED152,07ec,2028,12
7ED154,07f8,2040,12
7ED156,0804,2052,12
7ED158,0810,2064,12
7ED15A,081c,2076,12
7ED15C,0828,2088,12
7ED15E,0834,2100,12
7ED160,0840,2112,12
7ED162,084c,2124,12
7ED164,0858,2136,12
7ED166,0864,2148,12
7ED168,0870,2160,12
7ED16A,087c,2172,12
7ED16C,0888,2184,12
7ED16E,0894,2196,12
7ED170,08a0,2208,12
7ED172,08ac,2220,12
7ED174,08b8,2232,12
7ED176,08c4,2244,12
7ED178,08d0,2256,12
7ED17A,08dc,2268,12
7ED17C,08e8,2280,12
7ED17E,08f4,2292,12
7ED180,0900,2304,12
7ED182,090c,2316,12
7ED184,0918,2328,12
7ED186,0924,2340,12
7ED188,0930,2352,12
7ED18A,093c,2364,12
7ED18C,0948,2376,12
7ED18E,0954,2388,12
7ED190,0960,2400,12
7ED192,096c,2412,12
7ED194,0978,2424,12
7ED196,0984,2436,12
7ED198,0990,2448,12
7ED19A,099c,2460,12
7ED19C,09a8,2472,12
7ED19E,09b4,2484,12
7ED1A0,09c0,2496,12
7ED1A2,09cc,2508,12
7ED1A4,09d8,2520,12
7ED1A6,09e4,2532,12
7ED1A8,09f0,2544,12
7ED1AA,09fc,2556,12
7ED1AC,0a08,2568,12
7ED1AE,0a14,2580,12
7ED1B0,0a20,2592,12
7ED1B2,0a2c,2604,12
7ED1B4,0a38,2616,12
7ED1B6,0a44,2628,12
7ED1B8,0a50,2640,12
7ED1BA,0a5c,2652,12
7ED1BC,0a68,2664,12
7ED1BE,0a74,2676,12
7ED1C0,0a80,2688,12
7ED1C2,0a88,2696,8
7ED1C4,0a90,2704,8
7ED1C6,0a98,2712,8
7ED1C8,0aa0,2720,8
7ED1CA,0aa8,2728,8
7ED1CC,0ab0,2736,8
7ED1CE,0ab8,2744,8
7ED1D0,0ac0,2752,8
7ED1D2,0ac8,2760,8
7ED1D4,0ad0,2768,8
7ED1D6,0ad8,2776,8
7ED1D8,0ae0,2784,8
7ED1DA,0ae8,2792,8
7ED1DC,0af0,2800,8
7ED1DE,0af8,2808,8
7ED1E0,0b00,2816,8
7ED1E2,0b08,2824,8
7ED1E4,0b10,2832,8
7ED1E6,0b18,2840,8
7ED1E8,0b20,2848,8
7ED1EA,0b28,2856,8
7ED1EC,0b30,2864,8
7ED1EE,0b38,2872,8
7ED1F0,0b40,2880,8
7ED1F2,0b48,2888,8
7ED1F4,0b50,2896,8
7ED1F6,0b58,2904,8
7ED1F8,0b60,2912,8
7ED1FA,0b68,2920,8
7ED1FC,0b70,2928,8
7ED1FE,0b78,2936,8
7ED200,1380,4992,2056
7ED202,1389,5001,9
7ED204,1392,5010,9
7ED206,139b,5019,9
7ED208,13a4,5028,9
7ED20A,13ad,5037,9
7ED20C,13b6,5046,9
7ED20E,13bf,5055,9
7ED210,13c8,5064,9
7ED212,13d1,5073,9
7ED214,13da,5082,9
7ED216,13e3,5091,9
7ED218,13ec,5100,9
7ED21A,13f5,5109,9
7ED21C,13fe,5118,9
7ED21E,1407,5127,9
7ED220,1410,5136,9
7ED222,1419,5145,9
7ED224,1422,5154,9
7ED226,142b,5163,9
7ED228,1434,5172,9
7ED22A,143d,5181,9
7ED22C,1446,5190,9
7ED22E,144f,5199,9
7ED230,1458,5208,9
7ED232,1461,5217,9
7ED234,146a,5226,9
7ED236,1473,5235,9
7ED238,147c,5244,9
7ED23A,1485,5253,9
7ED23C,148e,5262,9
7ED23E,1497,5271,9
7ED240,14a0,5280,9
7ED242,14a9,5289,9
7ED244,14b2,5298,9
7ED246,14bb,5307,9
7ED248,14c4,5316,9
7ED24A,14cd,5325,9
7ED24C,14d6,5334,9
7ED24E,14df,5343,9
7ED250,14e8,5352,9
7ED252,14f1,5361,9
7ED254,14fa,5370,9
7ED256,1503,5379,9
7ED258,150c,5388,9
7ED25A,1515,5397,9
7ED25C,151e,5406,9
7ED25E,1527,5415,9
7ED260,1530,5424,9
7ED262,1539,5433,9
7ED264,1542,5442,9
7ED266,154b,5451,9
7ED268,1554,5460,9
7ED26A,155d,5469,9
7ED26C,1566,5478,9
7ED26E,156f,5487,9
7ED270,1578,5496,9
7ED272,1581,5505,9
7ED274,158a,5514,9
7ED276,1593,5523,9
7ED278,159c,5532,9
7ED27A,15a5,5541,9
7ED27C,15ae,5550,9
7ED27E,15b7,5559,9
7ED280,15c0,5568,9
7ED282,15c9,5577,9
7ED284,15d2,5586,9
7ED286,15db,5595,9
7ED288,15e4,5604,9
7ED28A,15ed,5613,9
7ED28C,15f6,5622,9
7ED28E,15ff,5631,9
7ED290,1608,5640,9
7ED292,1611,5649,9
7ED294,161a,5658,9
7ED296,1623,5667,9
7ED298,162c,5676,9
7ED29A,1635,5685,9
7ED29C,163e,5694,9
7ED29E,1647,5703,9
7ED2A0,1650,5712,9
7ED2A2,1659,5721,9
7ED2A4,1662,5730,9
7ED2A6,166b,5739,9
7ED2A8,1674,5748,9
7ED2AA,167d,5757,9
7ED2AC,1686,5766,9
7ED2AE,168f,5775,9
7ED2B0,1698,5784,9
7ED2B2,16a1,5793,9
7ED2B4,16aa,5802,9
7ED2B6,16b3,5811,9
7ED2B8,16bc,5820,9
7ED2BA,16c5,5829,9
7ED2BC,16ce,5838,9
7ED2BE,16d7,5847,9
7ED2C0,16e0,5856,9
7ED2C2,16e9,5865,9
7ED2C4,16f2,5874,9
7ED2C6,16fb,5883,9
7ED2C8,1704,5892,9
7ED2CA,170d,5901,9
7ED2CC,1716,5910,9
7ED2CE,171f,5919,9
7ED2D0,1728,5928,9
7ED2D2,1731,5937,9
7ED2D4,173a,5946,9
7ED2D6,1743,5955,9
7ED2D8,174c,5964,9
7ED2DA,1755,5973,9
7ED2DC,175e,5982,9
7ED2DE,1767,5991,9
7ED2E0,1770,6000,9
7ED2E2,1779,6009,9
7ED2E4,1782,6018,9
7ED2E6,178b,6027,9
7ED2E8,1794,6036,9
7ED2EA,179d,6045,9
7ED2EC,17a6,6054,9
7ED2EE,17af,6063,9
7ED2F0,17b8,6072,9
7ED2F2,17c1,6081,9
7ED2F4,17ca,6090,9
7ED2F6,17d3,6099,9
7ED2F8,17dc,6108,9
7ED2FA,17e5,6117,9
7ED2FC,17ee,6126,9
7ED2FE,17f7,6135,9
7ED300,1800,6144,9
7ED302,1809,6153,9
7ED304,1812,6162,9
7ED306,181b,6171,9
7ED308,1824,6180,9
7ED30A,182d,6189,9
7ED30C,1836,6198,9
7ED30E,183f,6207,9
7ED310,1848,6216,9
7ED312,1851,6225,9
7ED314,185a,6234,9
7ED316,1863,6243,9
7ED318,186c,6252,9
7ED31A,1875,6261,9
7ED31C,187e,6270,9
7ED31E,1887,6279,9
7ED320,1890,6288,9
7ED322,1899,6297,9
7ED324,18a2,6306,9
7ED326,18a2,6306,0
7ED328,18b4,6324,18
7ED32A,18bd,6333,9
7ED32C,18c6,6342,9
7ED32E,18cf,6351,9
7ED330,18d8,6360,9
7ED332,18e1,6369,9
7ED334,18ea,6378,9
7ED336,18f3,6387,9
7ED338,18fc,6396,9
7ED33A,1905,6405,9
7ED33C,190e,6414,9
7ED33E,1917,6423,9
7ED340,1917,6423,0
7ED342,1929,6441,18
7ED344,1932,6450,9
7ED346,193b,6459,9
7ED348,1944,6468,9
7ED34A,194d,6477,9
7ED34C,1956,6486,9
7ED34E,195f,6495,9
7ED350,1968,6504,9
7ED352,1971,6513,9
7ED354,197a,6522,9
7ED356,1983,6531,9
7ED358,198c,6540,9
7ED35A,1995,6549,9
7ED35C,199e,6558,9
7ED35E,19a7,6567,9
7ED360,19b0,6576,9
7ED362,19b9,6585,9
7ED364,19c2,6594,9
7ED366,19cb,6603,9
7ED368,19d4,6612,9
7ED36A,19dd,6621,9
7ED36C,19e6,6630,9
7ED36E,19ef,6639,9
7ED370,19f8,6648,9
7ED372,1a01,6657,9
7ED374,1a0a,6666,9
7ED376,1a13,6675,9
7ED378,1a1c,6684,9
7ED37A,1a25,6693,9
7ED37C,1a2e,6702,9
7ED37E,1a37,6711,9
7ED380,1a40,6720,9
7ED382,1a49,6729,9
7ED384,1a52,6738,9
7ED386,1a5b,6747,9
7ED388,1a64,6756,9
7ED38A,1a6d,6765,9
7ED38C,1a76,6774,9
7ED38E,1a7f,6783,9
7ED390,1a88,6792,9
7ED392,1a91,6801,9
7ED394,1a9a,6810,9
7ED396,1aa3,6819,9
7ED398,1aac,6828,9
7ED39A,1ab5,6837,9
7ED39C,1abe,6846,9
7ED39E,1ac7,6855,9
7ED3A0,1ad0,6864,9
7ED3A2,1ad9,6873,9
7ED3A4,1ae2,6882,9
7ED3A6,1aeb,6891,9
7ED3A8,1af4,6900,9
7ED3AA,1afd,6909,9
7ED3AC,1b06,6918,9
7ED3AE,1b0f,6927,9
7ED3B0,1b18,6936,9
7ED3B2,1b21,6945,9
7ED3B4,1b2a,6954,9
7ED3B6,1b33,6963,9
7ED3B8,1b3c,6972,9
7ED3BA,1b45,6981,9
7ED3BC,1b4e,6990,9
7ED3BE,1b57,6999,9
7ED3C0,1b60,7008,9
7ED3C2,1b69,7017,9
7ED3C4,1b72,7026,9
7ED3C6,1b7b,7035,9
7ED3C8,1b84,7044,9
7ED3CA,1b8d,7053,9
7ED3CC,1b96,7062,9
7ED3CE,1b9f,7071,9
7ED3D0,1ba8,7080,9
7ED3D2,1bb1,7089,9
7ED3D4,1bba,7098,9
7ED3D6,1bc3,7107,9
7ED3D8,1bcc,7116,9
7ED3DA,1bd5,7125,9
7ED3DC,1bde,7134,9
7ED3DE,1be7,7143,9
7ED3E0,1bf0,7152,9
7ED3E2,1bf9,7161,9
7ED3E4,1c02,7170,9
7ED3E6,1c0b,7179,9
7ED3E8,1c14,7188,9
7ED3EA,1c1d,7197,9
7ED3EC,1c26,7206,9
7ED3EE,1c2f,7215,9
7ED3F0,1c38,7224,9
7ED3F2,1c41,7233,9
7ED3F4,1c4a,7242,9
7ED3F6,1c53,7251,9
7ED3F8,1c5c,7260,9
7ED3FA,1c65,7269,9
7ED3FC,1c6e,7278,9
7ED3FE,1c77,7287,9
7ED400,1c80,7296,9
7ED402,1c86,7302,6
7ED404,1c8c,7308,6
7ED406,1c92,7314,6
7ED408,1c98,7320,6
7ED40A,1c9e,7326,6
7ED40C,1c9e,7326,0
7ED40E,1c,28,-7298
7ED410,1cb0,7344,7316
7ED412,1cb6,7350,6
7ED414,1cbc,7356,6
7ED416,1cc2,7362,6
7ED418,1cc8,7368,6
7ED41A,1cce,7374,6
7ED41C,1cd4,7380,6
7ED41E,1cda,7386,6
7ED420,1ce0,7392,6
7ED422,1ce6,7398,6
7ED424,1cec,7404,6
7ED426,1c,28,-7376
7ED428,1c,28,0
7ED42A,1cfe,7422,7394
7ED42C,1d04,7428,6
7ED42E,1d0a,7434,6
7ED430,1d10,7440,6
7ED432,1d16,7446,6
7ED434,1d1c,7452,6
7ED436,1d22,7458,6
7ED438,1d28,7464,6
7ED43A,1d2e,7470,6
7ED43C,1d34,7476,6
7ED43E,1d3a,7482,6
7ED440,1d40,7488,6
7ED442,1d46,7494,6
7ED444,1d4c,7500,6
7ED446,1d52,7506,6
7ED448,1d58,7512,6
7ED44A,1d5e,7518,6
7ED44C,1d64,7524,6
7ED44E,1d6a,7530,6
7ED450,1d70,7536,6
7ED452,1d76,7542,6
7ED454,1d7c,7548,6
7ED456,1d82,7554,6
7ED458,1d88,7560,6
7ED45A,1d8e,7566,6
7ED45C,1d94,7572,6
7ED45E,1d9a,7578,6
7ED460,1da0,7584,6
7ED462,1da6,7590,6
7ED464,1dac,7596,6
7ED466,1db2,7602,6
7ED468,1db8,7608,6
7ED46A,1dbe,7614,6
7ED46C,1dc4,7620,6
7ED46E,1dca,7626,6
7ED470,1dd0,7632,6
7ED472,1dd6,7638,6
7ED474,1ddc,7644,6
7ED476,1de2,7650,6
7ED478,1de8,7656,6
7ED47A,1dee,7662,6
7ED47C,1df4,7668,6
7ED47E,1dfa,7674,6
7ED480,1e00,7680,6
7ED482,1e06,7686,6
7ED484,1e0c,7692,6
7ED486,1e12,7698,6
7ED488,1e18,7704,6
7ED48A,1e1e,7710,6
7ED48C,1e24,7716,6
7ED48E,1e2a,7722,6
7ED490,1e30,7728,6
7ED492,1e36,7734,6
7ED494,1e3c,7740,6
7ED496,1e42,7746,6
7ED498,1e48,7752,6
7ED49A,1e4e,7758,6
7ED49C,1e54,7764,6
7ED49E,1e5a,7770,6
7ED4A0,1e60,7776,6
7ED4A2,1e66,7782,6
7ED4A4,1e6c,7788,6
7ED4A6,1e,30,-7758
7ED4A8,1e78,7800,7770
7ED4AA,1e7e,7806,6
7ED4AC,1e84,7812,6
7ED4AE,1e8a,7818,6
7ED4B0,1e93,7827,9
7ED4B2,1e9c,7836,9
7ED4B4,1ea5,7845,9
7ED4B6,1eae,7854,9
7ED4B8,1eb7,7863,9
7ED4BA,1ec0,7872,9
7ED4BC,1ec9,7881,9
7ED4BE,1ed2,7890,9
7ED4C0,1edb,7899,9
7ED4C2,1ee4,7908,9
7ED4C4,1eed,7917,9
7ED4C6,1ef6,7926,9
7ED4C8,1eff,7935,9
7ED4CA,1f08,7944,9
7ED4CC,1f11,7953,9
7ED4CE,1f1a,7962,9
7ED4D0,1f23,7971,9
7ED4D2,1f2c,7980,9
7ED4D4,1f35,7989,9
7ED4D6,1f3e,7998,9
7ED4D8,1f47,8007,9
7ED4DA,1f50,8016,9
7ED4DC,1f59,8025,9
7ED4DE,1f62,8034,9
7ED4E0,1f6b,8043,9
7ED4E2,1f74,8052,9
7ED4E4,1f7d,8061,9
7ED4E6,1f86,8070,9
7ED4E8,1f8f,8079,9
7ED4EA,1f98,8088,9
7ED4EC,1fa1,8097,9
7ED4EE,1faa,8106,9
7ED4F0,1fb3,8115,9
7ED4F2,1fbc,8124,9
7ED4F4,1fc5,8133,9
7ED4F6,1fce,8142,9
7ED4F8,1fd7,8151,9
7ED4FA,1fe0,8160,9
7ED4FC,1fe9,8169,9
7ED4FE,1ff2,8178,9
7ED500,1ffb,8187,9
7ED502,2004,8196,9
7ED504,200d,8205,9
7ED506,2016,8214,9
7ED508,201f,8223,9
7ED50A,2028,8232,9
7ED50C,2031,8241,9
7ED50E,203a,8250,9
7ED510,2043,8259,9
7ED512,204c,8268,9
7ED514,2055,8277,9
7ED516,205e,8286,9
7ED518,2067,8295,9
7ED51A,2070,8304,9
7ED51C,2079,8313,9
7ED51E,2082,8322,9
7ED520,208b,8331,9
7ED522,2094,8340,9
7ED524,209d,8349,9
7ED526,20a6,8358,9
7ED528,20af,8367,9
7ED52A,20b8,8376,9
7ED52C,20c1,8385,9
7ED52E,20ca,8394,9
7ED530,20d3,8403,9
7ED532,20dc,8412,9
7ED534,20e5,8421,9
7ED536,20ee,8430,9
7ED538,20f7,8439,9
7ED53A,2100,8448,9
7ED53C,2109,8457,9
7ED53E,2112,8466,9
7ED540,211b,8475,9
7ED542,2124,8484,9
7ED544,212d,8493,9
7ED546,2136,8502,9
7ED548,213f,8511,9
7ED54A,2148,8520,9
7ED54C,2151,8529,9
7ED54E,215a,8538,9
7ED550,2163,8547,9
7ED552,216c,8556,9
7ED554,2175,8565,9
7ED556,217e,8574,9
7ED558,2187,8583,9
7ED55A,2190,8592,9
7ED55C,2199,8601,9
7ED55E,21a2,8610,9
7ED560,21ab,8619,9
7ED562,21b4,8628,9
7ED564,21bd,8637,9
7ED566,21c6,8646,9
7ED568,21cf,8655,9
7ED56A,21d8,8664,9
7ED56C,21e1,8673,9
7ED56E,21ea,8682,9
7ED570,21f3,8691,9
7ED572,21fc,8700,9
7ED574,2205,8709,9
7ED576,220e,8718,9
7ED578,2217,8727,9
7ED57A,2220,8736,9
7ED57C,2229,8745,9
7ED57E,2232,8754,9
7ED580,223b,8763,9
7ED582,2244,8772,9
7ED584,224d,8781,9
7ED586,2256,8790,9
7ED588,225f,8799,9
7ED58A,2268,8808,9
7ED58C,2268,8808,0
7ED58E,227a,8826,18
7ED590,2283,8835,9
7ED592,228c,8844,9
7ED594,2295,8853,9
7ED596,229e,8862,9
7ED598,22a7,8871,9
7ED59A,22b0,8880,9
7ED59C,22b9,8889,9
7ED59E,22c2,8898,9
7ED5A0,22cb,8907,9
7ED5A2,22d4,8916,9
7ED5A4,22dd,8925,9
7ED5A6,22e6,8934,9
7ED5A8,22ef,8943,9
7ED5AA,22f8,8952,9
7ED5AC,2301,8961,9
7ED5AE,230a,8970,9
7ED5B0,2313,8979,9
7ED5B2,231c,8988,9
7ED5B4,2325,8997,9
7ED5B6,232e,9006,9
7ED5B8,2337,9015,9
7ED5BA,2340,9024,9
7ED5BC,2349,9033,9
7ED5BE,2352,9042,9
7ED5C0,235b,9051,9
7ED5C2,2364,9060,9
7ED5C4,236d,9069,9
7ED5C6,2376,9078,9
7ED5C8,237f,9087,9
7ED5CA,2388,9096,9
7ED5CC,2391,9105,9
7ED5CE,239a,9114,9
7ED5D0,23a3,9123,9
7ED5D2,23ac,9132,9
7ED5D4,23b5,9141,9
7ED5D6,23be,9150,9
7ED5D8,23c7,9159,9
7ED5DA,23d0,9168,9
7ED5DC,23d9,9177,9
7ED5DE,23e2,9186,9
7ED5E0,23eb,9195,9
7ED5E2,23f4,9204,9
7ED5E4,23fd,9213,9
7ED5E6,2406,9222,9
7ED5E8,240f,9231,9
7ED5EA,2418,9240,9
7ED5EC,2421,9249,9
7ED5EE,242a,9258,9
7ED5F0,2433,9267,9
7ED5F2,243c,9276,9
7ED5F4,2445,9285,9
7ED5F6,244e,9294,9
7ED5F8,2457,9303,9
7ED5FA,2460,9312,9
7ED5FC,2469,9321,9
7ED5FE,2472,9330,9
7ED600,5800,22528,13198
7ED602,5805,22533,5
7ED604,580a,22538,5
7ED606,580f,22543,5
7ED608,5814,22548,5
7ED60A,5819,22553,5
7ED60C,581e,22558,5
7ED60E,5823,22563,5
7ED610,5828,22568,5
7ED612,582d,22573,5
7ED614,5832,22578,5
7ED616,5837,22583,5
7ED618,583c,22588,5
7ED61A,5841,22593,5
7ED61C,5846,22598,5
7ED61E,584b,22603,5
7ED620,5850,22608,5
7ED622,5855,22613,5
7ED624,585a,22618,5
7ED626,585f,22623,5
7ED628,5864,22628,5
7ED62A,5869,22633,5
7ED62C,586e,22638,5
7ED62E,5873,22643,5
7ED630,5878,22648,5
7ED632,587d,22653,5
7ED634,5882,22658,5
7ED636,5887,22663,5
7ED638,588c,22668,5
7ED63A,5891,22673,5
7ED63C,5896,22678,5
7ED63E,589b,22683,5
7ED640,58a0,22688,5
7ED642,58a5,22693,5
7ED644,58aa,22698,5
7ED646,58af,22703,5
7ED648,58b4,22708,5
7ED64A,58b9,22713,5
7ED64C,58be,22718,5
7ED64E,58c3,22723,5
7ED650,58c8,22728,5
7ED652,58cd,22733,5
7ED654,58d2,22738,5
7ED656,58d7,22743,5
7ED658,58dc,22748,5
7ED65A,58e1,22753,5
7ED65C,58e6,22758,5
7ED65E,58eb,22763,5
7ED660,58f0,22768,5
7ED662,58f5,22773,5
7ED664,58fa,22778,5
7ED666,58ff,22783,5
7ED668,5904,22788,5
7ED66A,5909,22793,5
7ED66C,590e,22798,5
7ED66E,5913,22803,5
7ED670,5918,22808,5
7ED672,591d,22813,5
7ED674,5922,22818,5
7ED676,5927,22823,5
7ED678,592c,22828,5
7ED67A,5931,22833,5
7ED67C,5936,22838,5
7ED67E,593b,22843,5
7ED680,5940,22848,5
7ED682,5945,22853,5
7ED684,594a,22858,5
7ED686,594f,22863,5
7ED688,5954,22868,5
7ED68A,5959,22873,5
7ED68C,595e,22878,5
7ED68E,5963,22883,5
7ED690,5968,22888,5
7ED692,596d,22893,5
7ED694,5972,22898,5
7ED696,5977,22903,5
7ED698,597c,22908,5
7ED69A,5981,22913,5
7ED69C,5986,22918,5
7ED69E,598b,22923,5
7ED6A0,5990,22928,5
7ED6A2,0000,0,-22928
7ED6A4,0000,0,0
7ED6A6,0000,0,0
7ED6A8,0000,0,0
7ED6AA,0000,0,0
7ED6AC,0000,0,0
7ED6AE,0000,0,0
7ED6B0,0000,0,0
7ED6B2,0000,0,0
7ED6B4,0000,0,0
7ED6B6,0000,0,0
7ED6B8,0000,0,0
7ED6BA,0000,0,0
7ED6BC,0000,0,0
7ED6BE,0000,0,0
7ED6C0,0000,0,0
7ED6C2,0000,0,0
7ED6C4,0000,0,0
7ED6C6,0000,0,0
7ED6C8,0000,0,0
7ED6CA,0000,0,0
7ED6CC,0000,0,0
7ED6CE,0000,0,0
7ED6D0,0000,0,0
7ED6D2,0000,0,0
7ED6D4,0000,0,0
7ED6D6,0000,0,0
7ED6D8,0000,0,0
7ED6DA,0000,0,0
7ED6DC,0000,0,0
7ED6DE,0000,0,0
7ED6E0,0000,0,0
7ED6E2,0000,0,0
7ED6E4,0000,0,0
7ED6E6,0000,0,0
7ED6E8,0000,0,0
7ED6EA,0000,0,0
7ED6EC,0000,0,0
7ED6EE,0000,0,0
7ED6F0,0000,0,0
7ED6F2,0000,0,0
7ED6F4,0000,0,0
7ED6F6,0000,0,0
7ED6F8,0000,0,0
7ED6FA,0000,0,0
7ED6FC,0000,0,0
7ED6FE,0000,0,0
7ED700,6200,25088,25088
7ED702,6208,25096,8
7ED704,6210,25104,8
7ED706,6218,25112,8
7ED708,6220,25120,8
7ED70A,6228,25128,8
7ED70C,6230,25136,8
7ED70E,6238,25144,8
7ED710,6240,25152,8
7ED712,6248,25160,8
7ED714,6250,25168,8
7ED716,6258,25176,8
7ED718,6260,25184,8
7ED71A,6268,25192,8
7ED71C,6270,25200,8
7ED71E,6278,25208,8
7ED720,6280,25216,8
7ED722,6288,25224,8
7ED724,6290,25232,8
7ED726,6298,25240,8
7ED728,62a0,25248,8
7ED72A,62a8,25256,8
7ED72C,62b0,25264,8
7ED72E,62b8,25272,8
7ED730,62c0,25280,8
7ED732,62c8,25288,8
7ED734,62d0,25296,8
7ED736,62d8,25304,8
7ED738,62e0,25312,8
7ED73A,62e8,25320,8
7ED73C,62f0,25328,8
7ED73E,62f8,25336,8
7ED740,0063,99,-25237
